Deck,Directory,File,Suit,Name,Description
Toth,Toth/,T_Fool.jpg,Trumps,Fool,"Transcendance, Action without thought"
Toth,Toth/,T_Mage.jpg,Trumps,Mage,"Skill, wisdon, but also the interference of intelligence with the matter at hand"
Toth,Toth/,T_Priestess.jpg,Trumps,High Priestess,pure graciousness enters the matter
Toth,Toth/,T_Empress.jpg,Trumps,Empress,"Love, beauty, graciousness, gentleness"
Toth,Toth/,T_Emperor.jpg,Trumps,Emperor,"War, conquest, victory, ambition, stubborness"
Toth,Toth/,T_Heirophant.jpg,Trumps,Heirophant,"stubborn strength, help from superiors, organization, peace"
Toth,Toth/,T_Lovers.jpg,Trumps,Lovers,"Openness to inspiration, intuition, thoughtfulness divorced from practical consideration"
Toth,Toth/,T_Chariot.jpg,Trumps,Chariot,"violence in maintaining traditional ideas, ruthlessness, lust for destruction"
Toth,Toth/,T_Adjustment.jpg,Trumps,Adjustment,"suspension of action pending decision, the act of adjustment, treaties"
Toth,Toth/,T_Hermit.jpg,Trumps,Hermit,"Illumination from within, retirement from participation in current events"
Toth,Toth/,T_Fortune.jpg,Trumps,Fortune,change of fortune
Toth,Toth/,T_Lust.jpg,Trumps,Lust,"passion, energy and action, the use of magickal power"
Toth,Toth/,T_HangedMan.jpg,Trumps,Hanged Man,"Enforced sacrifice, punishment, defeat"
Toth,Toth/,T_Death.jpg,Trumps,Death,"transformation, change, logical but perhaps unexpected development of existing conditions"
Toth,Toth/,T_Art.jpg,Trumps,Art,"combination of forces, action based on accurate calculation, escape"
Toth,Toth/,T_Devil.jpg,Trumps,Devil,"blind impulse, temptation, aching discontent, secret plan about to be executed"
Toth,Toth/,T_Tower.jpg,Trumps,Tower,"combat, ruin, destruction of plans, suden death, escape from prison"
Toth,Toth/,T_Star.jpg,Trumps,Star,"unexpected help, hope, realization of possibilities, dreaminess"
Toth,Toth/,T_Moon.jpg,Trumps,Moon,"deception, bewilderment, madness, brink of important change, darkest hour before dawn"
Toth,Toth/,T_Sun.jpg,Trumps,Sun,"glort, frankness, arrogance, truth"
Toth,Toth/,T_Aeon.jpg,Trumps,Aeon,taking a definitive step
Toth,Toth/,T_Universe.jpg,Trumps,Universe,"the matter of the question itself, synthesis"
Toth,Toth/,T_W_Knight.jpg,Wands,Knight of wands,"Active, generous, fierce, can also be evil minded, cruel, bigoted, brutal"
Toth,Toth/,T_W_Q.jpg,Wands,Queen of Wands,"Adaptability, steady rule, power of command, kind and generous when not opposed, but apt to tunr against others without cause, obstinate and revengeful"
Toth,Toth/,T_W_Prince.jpg,Wands,Price of Wands,"swift, strong, hasty, violent but just and generous. Can be cruel and intolerant"
Toth,Toth/,T_W_Princess.jpg,Wands,Princess of Wands,"Brilliance, courage, sudden in anger or love, diserous of power, can be superficial, cruel and domineering"
Toth,Toth/,T_W_10.jpg,Wands,10 of Wands,cruel and overbearing force applied only to material and selfish ends
Toth,Toth/,T_W_9.jpg,Wands,9 of Wands,"assured recovery from illness, tremendous steady force that cannot be shaken"
Toth,Toth/,T_W_8.jpg,Wands,8 of Wands,"too much force applied to suddenly, violent but not lasting"
Toth,Toth/,T_W_7.jpg,Wands,7 of Wands,possible victory depending on the courage excercised
Toth,Toth/,T_W_6.jpg,Wands,6 of Wands,"Victory after strife, pleasure gained through labor"
Toth,Toth/,T_W_5.jpg,Wands,5 of Wands,Quarreling and fighting
Toth,Toth/,T_W_4.jpg,Wands,4 of Wands,perfection or completion of a thing built up with trouble and labor
Toth,Toth/,T_W_3.jpg,Wands,3 of Wands,"pride, arrogance, self assertion"
Toth,Toth/,T_W_2.jpg,Wands,2 of Wands,"Influence over others, authority, power, dominion"
Toth,Toth/,T_W_A.jpg,Wands,Ace of Wands,Natural Force (as opposed to invoked)
Toth,Toth/,T_C_Knight.jpg,Cups,Knight of Cups,"graceful, poetic, but also sensual indolent and untruthful"
Toth,Toth/,T_C_Q.jpg,Cups,Queen of Cups,"good natured, imaginitive and kind but not willing to take much trouble for another.  Very much affected by influences of others"
Toth,Toth/,T_C_Prince.jpg,Cups,Price of Cups,"subtle, violent, crafyt and artistic.  Powerful for good or evil, but more attracted to evil if allied with apparent wisdom or power."
Toth,Toth/,T_C_Princess.jpg,Cups,Princess of Cups,"sweet, poetic, gentle and kind.  Can be selfish, lazy and luxurious"
Toth,Toth/,T_C_10.jpg,Cups,10 of Cups,permanent and lasting success and happiness
Toth,Toth/,T_C_9.jpg,Cups,9 of Cups,"complete success, pleasure and happiness, wished fufilled"
Toth,Toth/,T_C_8.jpg,Cups,8 of Cups,"success abandoned, decline of interest"
Toth,Toth/,T_C_7.jpg,Cups,7 of Cups,"slight success at outset, but not ultimately attained, promises unfufilled"
Toth,Toth/,T_C_6.jpg,Cups,6 of Cups,commencement (only) of steady increase in success or enjoyment
Toth,Toth/,T_C_5.jpg,Cups,5 of Cups,"disappointment in love, marrige broken off, loss of friendship, unkindness of a friend"
Toth,Toth/,T_C_4.jpg,Cups,4 of Cups,"receiving pleasure or kindness (not the sexy kind), but with underlying discomfort of drawbacks"
Toth,Toth/,T_C_3.jpg,Cups,3 of Cups,"abundance, hospitality, passive success,"
Toth,Toth/,T_C_2.jpg,Cups,2 of Cups,"marrige, love, sexy times, pleasure"
Toth,Toth/,T_C_A.jpg,Cups,Ace of Cups,"fertility, productivity, beauty, pleasure"
Toth,Toth/,T_S_Knight.jpg,Swords,Knight of Swords,"Active, clever, fierce, subtle, corageous, but incluned to domineer.  Can also be decietful and tyrannical"
Toth,Toth/,T_S_Q.jpg,Swords,Queen of Swords,"Intensely Perceptive, subtle, quick and confident.  Accurate in superficial things, graceful.  Can also be deceitful, sly, cruel but with a good exterior"
Toth,Toth/,T_S_Prince.jpg,Swords,Price of Swords,"full or ideas thoughts and designs, but suspiscious.  Firm in friendship and emnity, careful but can be overcautious. Can be plotting, maliciious, unreliable"
Toth,Toth/,T_S_Princess.jpg,Swords,Princess of Swords,"wisdom, strength, acuteness, subtelty in material things. Can also be frivolous and cunning"
Toth,Toth/,T_S_10.jpg,Swords,10 of Swords,"Ruin, death, defeat, disruption.  Undisciplined, warring force.  Complete disruption and failure. A repeater things, given too much to unprofitable speech"
Toth,Toth/,T_S_9.jpg,Swords,9 of Swords,"Illness, suffering, malice, cruelty"
Toth,Toth/,T_S_8.jpg,Swords,8 of Swords,"narrow, restricted, petty, a prison; too much force applied to small things"
Toth,Toth/,T_S_7.jpg,Swords,7 of Swords,"Journey by land, and untrustworthy character.  Partial success.  Yielding when victory is in grasp as if the last reserves of strength were used up. "
Toth,Toth/,T_S_6.jpg,Swords,6 of Swords,"Labour, work, journey by water. Success after anxiety and trouble, self-esteem, conciet, but modesty therewith"
Toth,Toth/,T_S_5.jpg,Swords,5 of Swords,"Defeat, loss, malice, spite, evil-speaking. Contest finished and decided against the purpose.  A busybody and seprator of friends, creul and cowardly, thankless and unreliable"
Toth,Toth/,T_S_4.jpg,Swords,4 of Swords,"Convalescence, recovery from sickness, change for the better. Reest from sorrow after it is passed through"
Toth,Toth/,T_S_3.jpg,Swords,3 of Swords,"Unhappiness, sorrow and tears.  Sowing of discord and strife, mischief-making, decietful in words and repetitions, the whole according to dignity"
Toth,Toth/,T_S_2.jpg,Swords,2 of Swords,"Quarrel made up, but with some remaiing tension in relations. Actions sometime selfish, sometimes unselfish.  Contradictory, strength through suffering, pleasure after pain."
Toth,Toth/,T_S_A.jpg,Swords,Ace of Swords,"Invoked Force. Can invoke eithe divine or demonic force.  Could be used to enforce justice, or wrath  and opression"
Toth,Toth/,T_D_Knight.jpg,Pentacles,Knight of Disks,"Heavy, dull and material, but can be laborious, clever and patient in material matters.  Avaricious, dull, jealous, not very corageous unless assisted by other symbols"
Toth,Toth/,T_D_Q.jpg,Pentacles,Queen of Disks,"She is impetuous, kind; timid, charming; great hearetd; intelligent, melancholy, can be capricious and foolish"
Toth,Toth/,T_D_Prince.jpg,Pentacles,Price of Disks,"Increase of matter.  Increases of good or evil. Practical, reliable.  Can be selfish, animal and material: stupid.  Always slow to anger but furious if roused."
Toth,Toth/,T_D_Princess.jpg,Pentacles,Princess of Disks,"She is generous, kind, diligent, benevolent, corageous and persevering. Can also be pitiful and wasteful."
Toth,Toth/,T_D_10.jpg,Pentacles,10 of Disks,"Riches and wealth. Completion of material gain and fortune; but nothing beyond: as it were, at the very pinnacle of success."
Toth,Toth/,T_D_9.jpg,Pentacles,9 of Disks,"Inheritance, much increase of goods."
Toth,Toth/,T_D_8.jpg,Pentacles,8 of Disks,Skill; prudence: cunning. Over careful in small thinsg at the expense of the great. Gain of ready money in small sums
Toth,Toth/,T_D_7.jpg,Pentacles,7 of Disks,Unprofitable speculations and employments; little gain for much labor.  Promises of success unfulfilled
Toth,Toth/,T_D_6.jpg,Pentacles,6 of Disks,"Success in material things, prosperity in business.  "
Toth,Toth/,T_D_5.jpg,Pentacles,5 of Disks,"Loss of profession, loss of money, monetary anxiety.  Loss of money or position, trouble about material things, poverty"
Toth,Toth/,T_D_4.jpg,Pentacles,4 of Disks,Gain of money or infulence: a present.  Assured material gain
Toth,Toth/,T_D_3.jpg,Pentacles,3 of Disks,"Buisiness, Paid Employment, commercial transaction.  Working and constructive force, building up, realization; gain in commercial transactions, commencement of matters to be established later"
Toth,Toth/,T_D_2.jpg,Pentacles,2 of Disks,"Pleasant change, visit friends. Harmony of change.  Wandering, discontent with fixed conditions of things.  Industrious yet unreliable.  Kind but inconsistent.  Fortunate in journeying."
Toth,Toth/,T_D_A.jpg,Pentacles,Ace of Disks,"Materiality in all senses good and evil; in a sense illusionary: it shows material gain, labour, power, wealth, etc"
Toth,Toth/,T_NullHouse.jpg,Trumps,Null House,"The absence of anything, the void"
